domain,official_qiandaoear22_category,label,relative_path,recording_group_id_inferred
open,KaiYuan,other/background,open\raw\other\20220624102345_S_No7_M_W_0_label__0__10.wav,20220624102345_S_No7_M_W_0
open,KaiYuan,other/background,open\raw\other\20220624102345_S_No7_M_W_0_label__0__8.wav,20220624102345_S_No7_M_W_0
open,KaiYuan,other/background,open\raw\other\20220624102345_S_No7_M_W_0_label__0__9.wav,20220624102345_S_No7_M_W_0
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__1.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__18.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__19.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__2.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__20.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__21.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__22.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__23.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__24.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__25.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__26.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__27.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__28.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__3.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__4.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__5.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__6.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__7.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__8.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102345_S_SpeedBoat_N_S_1_label__0__9.wav,20220624102345_S_SpeedBoat_N_S_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__1.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__10.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__2.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__3.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__4.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__5.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__6.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__7.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__8.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__9.wav,20220624102845_M_No7_F_W&Helicopter_F_W_1
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__1.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__2.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__3.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__4.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__5.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__6.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__7.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__8.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__9.wav,20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__1.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__10.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__11.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__12.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__13.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__14.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__2.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__3.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__4.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__5.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__6.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__7.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__8.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624102845_S_No7_F_W_2_label__0__9.wav,20220624102845_S_No7_F_W_2
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__1.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__10.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__11.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__12.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__13.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__14.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__15.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__16.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__17.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__18.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__19.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__2.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__20.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__21.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__22.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__23.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__24.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__25.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__26.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__27.wav,20220624105851_S_SpeedBoat_F_W_0
