pair_type,key,domain_a,class_a,relative_path_a,sha256_a,domain_b,class_b,relative_path_b,sha256_b
relative_pattern,20220624102345_s_no7_m_w_0_label__0__10.wav,open,other,open/raw/other/20220624102345_S_No7_M_W_0_label__0__10.wav,bd14adf909fea20fad32dcc360d9dceb511a67f331cee55211394d1551de529d,speedboat,other,speedboat/raw/other/20220624102345_S_No7_M_W_0_label__0__10.wav,bd14adf909fea20fad32dcc360d9dceb511a67f331cee55211394d1551de529d
relative_pattern,20220624102345_s_no7_m_w_0_label__0__8.wav,open,other,open/raw/other/20220624102345_S_No7_M_W_0_label__0__8.wav,ef978cdc8f6527e4d279206b962cb8f84fc71765d134777e53303a8238916c7c,speedboat,other,speedboat/raw/other/20220624102345_S_No7_M_W_0_label__0__8.wav,ef978cdc8f6527e4d279206b962cb8f84fc71765d134777e53303a8238916c7c
relative_pattern,20220624102345_s_no7_m_w_0_label__0__9.wav,open,other,open/raw/other/20220624102345_S_No7_M_W_0_label__0__9.wav,b9446d18a368a32b297f3b2a19a262847a94fd67c7712363a8d8a1b81f46bba5,speedboat,other,speedboat/raw/other/20220624102345_S_No7_M_W_0_label__0__9.wav,b9446d18a368a32b297f3b2a19a262847a94fd67c7712363a8d8a1b81f46bba5
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__1.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__1.wav,b5b0439847db3a9ea0c0a9550829ce1099bcac2267e8b845920afe15e6c2b720,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__1.wav,b5b0439847db3a9ea0c0a9550829ce1099bcac2267e8b845920afe15e6c2b720
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__18.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__18.wav,daed1c337970609574b113cc0b991509fcc30b08a84024a0a57f68d20c3c4f43,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__18.wav,daed1c337970609574b113cc0b991509fcc30b08a84024a0a57f68d20c3c4f43
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__19.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__19.wav,e72556486cbf51f77b52011a271ded2c5e9b20bc43c64db9df49778e4ba60e36,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__19.wav,e72556486cbf51f77b52011a271ded2c5e9b20bc43c64db9df49778e4ba60e36
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__2.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__2.wav,93598529fc340900a879a2a72ef3f9fb767e296a4626028b52716948681b2645,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__2.wav,93598529fc340900a879a2a72ef3f9fb767e296a4626028b52716948681b2645
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__20.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__20.wav,83bfbe8c36aa0b18e0ba085c76b3c8a2cc730c63134471a49725db5f253d99fd,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__20.wav,83bfbe8c36aa0b18e0ba085c76b3c8a2cc730c63134471a49725db5f253d99fd
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__21.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__21.wav,0fc4c34697e6791b93bf612e1cae9b9fcf7eecff4be3921d516ef826a879f89c,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__21.wav,0fc4c34697e6791b93bf612e1cae9b9fcf7eecff4be3921d516ef826a879f89c
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__22.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__22.wav,23303437d910c80dfa9ee86ef173b0ef54c650a072cbed665c40cb455000af10,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__22.wav,23303437d910c80dfa9ee86ef173b0ef54c650a072cbed665c40cb455000af10
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__23.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__23.wav,05d692465fa662f224a41f649936e3cfb5fdaafd7b80a6ad997a4bb657bfef9b,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__23.wav,05d692465fa662f224a41f649936e3cfb5fdaafd7b80a6ad997a4bb657bfef9b
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__24.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__24.wav,7d517c0dafd3d20cf3d223ec586dedd91584e5f95cdffc66a733e5a2ab700682,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__24.wav,7d517c0dafd3d20cf3d223ec586dedd91584e5f95cdffc66a733e5a2ab700682
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__25.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__25.wav,a49d16493d25aa348924331d62410fe13d7da8b5ce5031136fe4c13f77bf0a11,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__25.wav,a49d16493d25aa348924331d62410fe13d7da8b5ce5031136fe4c13f77bf0a11
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__26.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__26.wav,4ace285815a9a826633ef1659590be3519205c09820806a6297b3e99ef4698b5,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__26.wav,4ace285815a9a826633ef1659590be3519205c09820806a6297b3e99ef4698b5
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__27.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__27.wav,b3fb0a74357760225daaa978226f3b72de44380beb16f07776ac7a438e6c5d63,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__27.wav,b3fb0a74357760225daaa978226f3b72de44380beb16f07776ac7a438e6c5d63
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__28.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__28.wav,094883cd345316cf1eb3deb5ad07787a259c3e7b79f095fbd9f8ff93cefb60bf,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__28.wav,094883cd345316cf1eb3deb5ad07787a259c3e7b79f095fbd9f8ff93cefb60bf
