task,k_shot,seed,repeat,feature_mode,src_tail_weight,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,5,2026,0,logmel,0.0,CE-Proto,0.628,0.6416184971098265,0.638508,0.164,0.046,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CE-LinearHead,0.669,0.6632756866734486,0.657164,0.216,0.118,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CosMetricHead,0.649,0.6535044422507403,0.728456,0.252,0.204,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CosMetricHead-TC,0.639,0.6505324298160697,0.728456,0.252,0.204,0.672,0.394,-4.237886905670166
open+speedboat->uuv,5,2026,0,logmel,0.0,CosMetricHead-Tail,0.649,0.6535044422507403,0.728456,0.252,0.204,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CosMetricHead-Tail-TC,0.639,0.6505324298160697,0.728456,0.252,0.204,0.672,0.394,-4.237886905670166
open+speedboat->uuv,5,2026,0,logmel,0.0,CalibCosMetricHead,0.651,0.6554787759131293,0.734764,0.248,0.202,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CalibCosMetricHead-TC,0.637,0.648596321393998,0.734764,0.248,0.202,0.67,0.396,-5.496430778503418
open+speedboat->uuv,5,2026,0,logmel,0.0,CalibCosMetricHead-Tail,0.651,0.6554787759131293,0.734764,0.248,0.202,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,CalibCosMetricHead-Tail-TC,0.637,0.648596321393998,0.734764,0.248,0.202,0.67,0.396,-5.496430778503418
open+speedboat->uuv,5,2026,0,logmel,0.0,NormAwareCalibCosMetricHead,0.651,0.6554787759131293,0.739044,0.24,0.2,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,NormAwareCalibCosMetricHead-TC,0.638,0.6499032882011605,0.739044,0.24,0.2,0.672,0.396,-5.516164016723633
open+speedboat->uuv,5,2026,0,logmel,0.0,NormAwareCalibCosMetricHead-Tail,0.651,0.6554787759131293,0.739044,0.24,0.2,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,NormAwareCalibCosMetricHead-Tail-TC,0.638,0.6499032882011605,0.739044,0.24,0.2,0.672,0.396,-5.516164016723633
open+speedboat->uuv,5,2026,0,logmel,0.0,RegMahaProxy,0.671,0.6625641025641026,0.6584380000000001,0.228,0.122,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,RegMahaProxy-TC,0.636,0.6472868217054264,0.6584380000000001,0.228,0.122,0.668,0.396,-10.070196533203125
open+speedboat->uuv,5,2026,0,logmel,0.0,RegMahaProxy-Tail,0.671,0.6625641025641026,0.6584380000000001,0.228,0.122,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,RegMahaProxy-Tail-TC,0.636,0.6472868217054264,0.6584380000000001,0.228,0.122,0.668,0.396,-10.070196533203125
open+speedboat->uuv,5,2026,0,logmel,0.0,LinEqProxy,0.669,0.6632756866734486,0.656776,0.218,0.118,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,LinEqProxy-TC,0.635,0.6473429951690821,0.656776,0.218,0.118,0.67,0.4,-1.1256790161132812
open+speedboat->uuv,5,2026,0,logmel,0.0,LinEqProxy-Tail,0.665,0.6605876393110436,0.655512,0.216,0.106,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,LinEqProxy-Tail-TC,0.636,0.6472868217054264,0.655512,0.216,0.106,0.668,0.396,-2.2350929260253904
open+speedboat->uuv,5,2026,1,logmel,0.0,CE-Proto,0.625,0.656907593778591,0.66152,0.184,0.14,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CE-LinearHead,0.598,0.6318681318681318,0.690888,0.346,0.228,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CosMetricHead,0.655,0.6872166817769719,0.698808,0.156,0.026,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CosMetricHead-TC,0.638,0.7131537242472267,0.698808,0.156,0.026,0.9,0.624,-0.7569864988327026
open+speedboat->uuv,5,2026,1,logmel,0.0,CosMetricHead-Tail,0.651,0.6835902085222122,0.7002559999999999,0.164,0.026,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CosMetricHead-Tail-TC,0.634,0.7104430379746836,0.7002559999999999,0.164,0.026,0.898,0.63,-0.7560325860977173
open+speedboat->uuv,5,2026,1,logmel,0.0,CalibCosMetricHead,0.659,0.6862925482980681,0.72502,0.202,0.032,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CalibCosMetricHead-TC,0.641,0.7227799227799228,0.72502,0.202,0.032,0.936,0.654,-2.1681447982788087
open+speedboat->uuv,5,2026,1,logmel,0.0,CalibCosMetricHead-Tail,0.673,0.707774798927614,0.74398,0.226,0.078,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,CalibCosMetricHead-Tail-TC,0.658,0.7340590979782271,0.74398,0.226,0.078,0.944,0.628,-1.2229521989822387
open+speedboat->uuv,5,2026,1,logmel,0.0,NormAwareCalibCosMetricHead,0.66,0.6875,0.726132,0.202,0.032,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,NormAwareCalibCosMetricHead-TC,0.639,0.7216653816499614,0.726132,0.202,0.032,0.936,0.658,-2.164850997924805
open+speedboat->uuv,5,2026,1,logmel,0.0,NormAwareCalibCosMetricHead-Tail,0.678,0.7130124777183601,0.7498560000000001,0.232,0.092,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,NormAwareCalibCosMetricHead-Tail-TC,0.653,0.7312161115414407,0.7498560000000001,0.232,0.092,0.944,0.638,-1.2150056123733521
open+speedboat->uuv,5,2026,1,logmel,0.0,RegMahaProxy,0.593,0.5618945102260495,0.6601080000000001,0.292,0.256,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,RegMahaProxy-TC,0.569,0.6464315012305168,0.6601080000000001,0.292,0.256,0.788,0.65,-9.812625122070312
open+speedboat->uuv,5,2026,1,logmel,0.0,RegMahaProxy-Tail,0.6,0.591002044989775,0.687416,0.336,0.264,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,RegMahaProxy-Tail-TC,0.582,0.6724137931034483,0.687416,0.336,0.264,0.858,0.694,-8.507342529296874
open+speedboat->uuv,5,2026,1,logmel,0.0,LinEqProxy,0.6,0.6343692870201096,0.691064,0.346,0.23,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,LinEqProxy-TC,0.589,0.6560669456066945,0.691064,0.346,0.23,0.784,0.606,-0.31498737335205096
open+speedboat->uuv,5,2026,1,logmel,0.0,LinEqProxy-Tail,0.598,0.6193181818181818,0.683972,0.346,0.246,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,LinEqProxy-Tail-TC,0.578,0.6546644844517185,0.683972,0.346,0.246,0.8,0.644,-0.7876163482666017
open+speedboat->uuv,5,2026,2,logmel,0.0,CE-Proto,0.665,0.66864490603363,0.7385039999999999,0.226,0.074,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CE-LinearHead,0.665,0.6016646848989299,0.700096,0.26,0.118,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CosMetricHead,0.696,0.6529680365296804,0.763756,0.224,0.068,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CosMetricHead-TC,0.67,0.7164948453608248,0.763756,0.224,0.068,0.834,0.494,-1.0724282264709473
open+speedboat->uuv,5,2026,2,logmel,0.0,CosMetricHead-Tail,0.696,0.6481481481481481,0.7642840000000001,0.216,0.062,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CosMetricHead-Tail-TC,0.672,0.7142857142857143,0.7642840000000001,0.216,0.062,0.82,0.476,-1.054545021057129
open+speedboat->uuv,5,2026,2,logmel,0.0,CalibCosMetricHead,0.681,0.7065317387304508,0.7592559999999999,0.214,0.034,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CalibCosMetricHead-TC,0.653,0.7345065034429993,0.7592559999999999,0.214,0.034,0.96,0.654,-4.586535263061523
open+speedboat->uuv,5,2026,2,logmel,0.0,CalibCosMetricHead-Tail,0.707,0.7304507819687213,0.7520439999999999,0.176,0.042,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,CalibCosMetricHead-Tail-TC,0.675,0.7470817120622568,0.7520439999999999,0.176,0.042,0.96,0.61,-3.5303455352783204
open+speedboat->uuv,5,2026,2,logmel,0.0,NormAwareCalibCosMetricHead,0.706,0.7317518248175182,0.76522,0.168,0.05,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,NormAwareCalibCosMetricHead-TC,0.665,0.7429009976976209,0.76522,0.168,0.05,0.968,0.638,-4.509001541137695
open+speedboat->uuv,5,2026,2,logmel,0.0,NormAwareCalibCosMetricHead-Tail,0.716,0.7422867513611615,0.753252,0.16,0.068,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,NormAwareCalibCosMetricHead-Tail-TC,0.674,0.7461059190031153,0.753252,0.16,0.068,0.958,0.61,-3.633158493041992
open+speedboat->uuv,5,2026,2,logmel,0.0,RegMahaProxy,0.664,0.6164383561643836,0.701524,0.306,0.058,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,RegMahaProxy-TC,0.618,0.6637323943661971,0.701524,0.306,0.058,0.754,0.518,-3.00860595703125
open+speedboat->uuv,5,2026,2,logmel,0.0,RegMahaProxy-Tail,0.664,0.6164383561643836,0.701524,0.306,0.058,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,RegMahaProxy-Tail-TC,0.618,0.6637323943661971,0.701524,0.306,0.058,0.754,0.518,-3.00860595703125
open+speedboat->uuv,5,2026,2,logmel,0.0,LinEqProxy,0.668,0.6066350710900474,0.698504,0.26,0.106,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,LinEqProxy-TC,0.644,0.6550387596899225,0.698504,0.26,0.106,0.676,0.388,-0.4500785827636719
open+speedboat->uuv,5,2026,2,logmel,0.0,LinEqProxy-Tail,0.665,0.600715137067938,0.697088,0.258,0.102,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,LinEqProxy-Tail-TC,0.638,0.6539196940726577,0.697088,0.258,0.102,0.684,0.408,-0.6511642456054688
open+speedboat->uuv,5,2026,3,logmel,0.0,CE-Proto,0.645,0.6488625123639961,0.726676,0.196,0.108,,,
