task,k_shot,method,baseline,n,acc_delta_mean,acc_delta_positive_ratio,f1_delta_mean,f1_delta_positive_ratio,auc_delta_mean,auc_delta_positive_ratio,pd_at_pfa_0.05_delta_mean,pd_at_pfa_0.05_delta_positive_ratio,pd_at_pfa_0.01_delta_mean,pd_at_pfa_0.01_delta_positive_ratio,pd_tc_delta_mean,pd_tc_delta_positive_ratio,pfa_tc_delta_mean,pfa_tc_delta_positive_ratio,threshold_tc_delta_mean,threshold_tc_delta_positive_ratio
open+speedboat->uuv,5,CE-LinearHead,CE-Proto,30,0.06073333333333332,0.7666666666666667,0.03278112628178881,0.5666666666666667,0.04003913333333332,0.5333333333333333,0.07946666666666666,0.6666666666666666,0.039799999999999995,0.6666666666666666,,,,,,
open+speedboat->uuv,10,CE-LinearHead,CE-Proto,30,0.09416666666666666,0.9,0.06183324013574317,0.7666666666666667,0.07679419999999997,0.8,0.15880000000000002,0.8333333333333334,0.0918666666666667,0.7,,,,,,
open+speedboat->uuv,20,CE-LinearHead,CE-Proto,30,0.11290000000000001,0.9333333333333333,0.07953091688447454,0.8666666666666667,0.09680959999999997,0.9666666666666667,0.13166666666666668,0.9,0.04886666666666669,0.7,,,,,,
open+speedboat->uuv,50,CE-LinearHead,CE-Proto,30,0.12890000000000004,1.0,0.10266819279023795,1.0,0.1406432666666667,1.0,0.2174666666666667,0.9666666666666667,0.10293333333333334,0.7333333333333333,,,,,,
open+uuv->speedboat,5,CE-LinearHead,CE-Proto,30,0.05270000000000001,0.8333333333333334,0.06613075093327553,0.8,0.05143746666666667,0.7666666666666667,0.0045333333333333345,0.5,0.0025333333333333328,0.36666666666666664,,,,,,
open+uuv->speedboat,10,CE-LinearHead,CE-Proto,30,0.07153333333333332,0.9333333333333333,0.07066233447187953,0.8333333333333334,0.08320546666666666,0.9666666666666667,0.033400000000000006,0.7,0.008533333333333334,0.6333333333333333,,,,,,
open+uuv->speedboat,20,CE-LinearHead,CE-Proto,30,0.09023333333333333,1.0,0.08421339584896616,0.9666666666666667,0.10912526666666664,1.0,0.046333333333333344,0.8333333333333334,0.015466666666666668,0.6666666666666666,,,,,,
open+uuv->speedboat,50,CE-LinearHead,CE-Proto,30,0.12313333333333334,0.9666666666666667,0.11332348937167261,0.9666666666666667,0.15332120000000005,0.9666666666666667,0.07499999999999998,0.9333333333333333,0.03153333333333334,0.9,,,,,,
open+speedboat->uuv,5,CalibCosMetricHead,CE-Proto,30,0.065,0.8333333333333334,0.07375369604095676,0.8333333333333334,0.06099746666666666,0.7666666666666667,-0.04386666666666666,0.43333333333333335,-0.045066666666666665,0.26666666666666666,,,,,,
open+speedboat->uuv,10,CalibCosMetricHead,CE-Proto,30,0.11423333333333334,0.9,0.10364378869673666,0.9666666666666667,0.11163833333333331,0.8,0.07740000000000004,0.6666666666666666,0.0024666666666666635,0.4666666666666667,,,,,,
