final_method,baseline,metric,n_pairs,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,holm_p
RegMahaProxy-TC,CE-Proto,AUC,240,0.1065748,0.11073799999999995,0.09469926020833333,0.11844339645833332,3.4570212274508397e-34,6.91404245490168e-33
RegMahaProxy-TC,CE-Proto,Pd@Pfa=0.05,240,0.11982500000000001,0.08499999999999999,0.10282395833333334,0.1368933333333333,2.0263629988691324e-28,3.647453397964438e-27
RegMahaProxy-TC,CE-Proto,Pd@Pfa=0.01,240,0.054075000000000005,0.02799999999999999,0.04092479166666667,0.06797624999999997,7.810879569453117e-15,1.3278495268070298e-13
RegMahaProxy-TC,CE-Proto,F1,240,0.09539599388258876,0.09482864843361016,0.08446745274967978,0.1065645138780401,8.016836162812056e-34,1.5231988709342906e-32
RegMahaProxy-TC,CosMetricHead,AUC,240,0.012317616666666672,0.016877000000000086,0.006671545833333339,0.017948885208333334,1.233637126498996e-06,1.3570008391488956e-05
RegMahaProxy-TC,CosMetricHead,Pd@Pfa=0.05,240,0.04191666666666668,0.032000000000000015,0.031291458333333334,0.052858749999999996,6.642125948554246e-12,1.0627401517686794e-10
RegMahaProxy-TC,CosMetricHead,Pd@Pfa=0.01,240,0.02296666666666667,0.008,0.012332916666666666,0.03424187499999999,0.0006652546512390746,0.005987291861151671
RegMahaProxy-TC,CosMetricHead,F1,240,0.02967911997043912,0.029856188905853953,0.020536586565812313,0.03877945002743488,1.350230142537143e-09,2.0253452138057147e-08
RegMahaProxy-TC,CE-LinearHead,AUC,240,0.012652850000000004,0.011987000000000081,0.007961984166666665,0.01720183791666666,2.661306472389172e-07,3.1935677668670064e-06
RegMahaProxy-TC,CE-LinearHead,Pd@Pfa=0.05,240,0.026491666666666667,0.022000000000000006,0.0180575,0.03488375,2.594895090627205e-09,3.632853126878087e-08
RegMahaProxy-TC,CE-LinearHead,Pd@Pfa=0.01,240,0.011383333333333334,0.002999999999999999,0.003948958333333332,0.019184166666666655,0.01935853171107201,0.11615119026643206
RegMahaProxy-TC,CE-LinearHead,F1,240,0.01900306304283397,0.024668448176884017,0.010767091020239311,0.026987573466557908,9.802738598123707e-08,1.274356017756082e-06
RegMahaProxy-TC,RegMahaProxy,AUC,240,0.0,0.0,0.0,0.0,1.0,1.0
RegMahaProxy-TC,RegMahaProxy,Pd@Pfa=0.05,240,0.0,0.0,0.0,0.0,1.0,1.0
RegMahaProxy-TC,RegMahaProxy,Pd@Pfa=0.01,240,0.0,0.0,0.0,0.0,1.0,1.0
RegMahaProxy-TC,RegMahaProxy,F1,240,0.014633666088219786,0.015560404274698014,0.005352214906692135,0.024081915004534812,0.00038409761511657,0.0038409761511657
RegMahaProxy-TC,RegMahaProxy-Tail-TC,AUC,240,0.003603999999999999,0.003434999999999966,0.0010693004166666704,0.006034886666666664,0.0008306907250444267,0.006645525800355413
RegMahaProxy-TC,RegMahaProxy-Tail-TC,Pd@Pfa=0.05,240,0.00465,0.001,-0.0005002083333333341,0.009818124999999978,0.05800674700403968,0.2900337350201984
RegMahaProxy-TC,RegMahaProxy-Tail-TC,Pd@Pfa=0.01,240,-0.0004750000000000002,0.0,-0.0051168750000000025,0.003999999999999999,0.4777686907812385,1.0
RegMahaProxy-TC,RegMahaProxy-Tail-TC,F1,240,0.005327092504836957,0.0028946509993790226,0.001510681709887438,0.009337700587904377,0.0014205894404232713,0.0099441260829629
