task,k_shot,seed,repeat,feature_mode,src_tail_weight,hash_disjoint,group_disjoint,target_available_after_hash_class0,target_available_after_hash_class1,target_excluded_hash_overlap_class0,target_excluded_hash_overlap_class1,support_count,query_count,query_count_class0,query_count_class1,support_groups,query_groups,hash_drop_side,hash_drop_side_requested,source_initial_count,source_after_hash_count,target_source_hash_overlap_raw,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,5,2026,0,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,83,source,source,15948,11537,2695,CE-Proto,0.606,0.6189555125725339,0.683836,0.174,0.052,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,83,source,source,15948,11537,2695,CE-LinearHead,0.783,0.7525655644241733,0.8918919999999999,0.518,0.346,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,83,source,source,15948,11537,2695,CosMetricHead,0.776,0.7494407158836689,0.871716,0.434,0.158,,,
open+speedboat->uuv,5,2026,0,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,83,source,source,15948,11537,2695,RegMahaProxy-TC,0.741,0.7753686036426712,0.8544240000000001,0.47,0.308,0.894,0.412,-10.27978515625
open+speedboat->uuv,5,2026,1,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CE-Proto,0.583,0.6062322946175638,0.645348,0.186,0.066,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CE-LinearHead,0.673,0.6900473933649289,0.7400439999999999,0.254,0.156,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CosMetricHead,0.646,0.671003717472119,0.776376,0.308,0.11,,,
open+speedboat->uuv,5,2026,1,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.664,0.7103448275862069,0.757576,0.258,0.172,0.824,0.496,-12.765576171875
open+speedboat->uuv,5,2026,2,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,86,source,source,15948,11537,2695,CE-Proto,0.687,0.6687830687830688,0.78982,0.286,0.154,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,86,source,source,15948,11537,2695,CE-LinearHead,0.682,0.6196172248803827,0.7533720000000002,0.29,0.082,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,86,source,source,15948,11537,2695,CosMetricHead,0.689,0.6525139664804469,0.808924,0.314,0.17,,,
open+speedboat->uuv,5,2026,2,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.698,0.688659793814433,0.747728,0.288,0.088,0.668,0.272,-11.20345458984375
open+speedboat->uuv,5,2026,3,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,84,source,source,15948,11537,2695,CE-Proto,0.72,0.732824427480916,0.8119919999999999,0.326,0.138,,,
open+speedboat->uuv,5,2026,3,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,84,source,source,15948,11537,2695,CE-LinearHead,0.669,0.6971637694419031,0.7654599999999999,0.482,0.342,,,
open+speedboat->uuv,5,2026,3,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,84,source,source,15948,11537,2695,CosMetricHead,0.739,0.7616438356164383,0.825488,0.264,0.152,,,
open+speedboat->uuv,5,2026,3,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,84,source,source,15948,11537,2695,RegMahaProxy-TC,0.587,0.6714399363564041,0.770444,0.494,0.304,0.844,0.67,-5.729757690429688
open+speedboat->uuv,5,2026,4,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,82,source,source,15948,11537,2695,CE-Proto,0.588,0.6083650190114068,0.668868,0.09,0.03,,,
open+speedboat->uuv,5,2026,4,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,82,source,source,15948,11537,2695,CE-LinearHead,0.738,0.7342799188640974,0.813928,0.356,0.116,,,
open+speedboat->uuv,5,2026,4,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,82,source,source,15948,11537,2695,CosMetricHead,0.725,0.7230614300100705,0.810128,0.35,0.154,,,
open+speedboat->uuv,5,2026,4,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,82,source,source,15948,11537,2695,RegMahaProxy-TC,0.719,0.7604433077578857,0.824808,0.376,0.174,0.892,0.454,-8.461444091796876
open+speedboat->uuv,5,2026,5,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,87,source,source,15948,11537,2695,CE-Proto,0.593,0.6060019361084221,0.6552479999999999,0.198,0.046,,,
open+speedboat->uuv,5,2026,5,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,87,source,source,15948,11537,2695,CE-LinearHead,0.654,0.5749385749385749,0.7109,0.244,0.072,,,
open+speedboat->uuv,5,2026,5,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,87,source,source,15948,11537,2695,CosMetricHead,0.601,0.5116279069767442,0.610044,0.12,0.006,,,
open+speedboat->uuv,5,2026,5,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,87,source,source,15948,11537,2695,RegMahaProxy-TC,0.615,0.6184340931615461,0.64348,0.21,0.12,0.624,0.394,-5.415066528320313
open+speedboat->uuv,5,2026,6,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,85,source,source,15948,11537,2695,CE-Proto,0.715,0.6938775510204082,0.807872,0.304,0.188,,,
open+speedboat->uuv,5,2026,6,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,85,source,source,15948,11537,2695,CE-LinearHead,0.73,0.6475195822454308,0.8794920000000002,0.554,0.42,,,
open+speedboat->uuv,5,2026,6,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,85,source,source,15948,11537,2695,CosMetricHead,0.762,0.7054455445544554,0.847732,0.572,0.31,,,
open+speedboat->uuv,5,2026,6,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,8,85,source,source,15948,11537,2695,RegMahaProxy-TC,0.77,0.7483588621444202,0.8553879999999999,0.558,0.326,0.684,0.144,-6.713752746582031
open+speedboat->uuv,5,2026,7,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,81,source,source,15948,11537,2695,CE-Proto,0.499,0.5102639296187683,0.61598,0.324,0.156,,,
open+speedboat->uuv,5,2026,7,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,81,source,source,15948,11537,2695,CE-LinearHead,0.647,0.6515301085883515,0.696108,0.39,0.152,,,
open+speedboat->uuv,5,2026,7,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,81,source,source,15948,11537,2695,CosMetricHead,0.624,0.6299212598425197,0.7383919999999999,0.332,0.158,,,
open+speedboat->uuv,5,2026,7,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,81,source,source,15948,11537,2695,RegMahaProxy-TC,0.557,0.6552529182879377,0.7218720000000001,0.448,0.26,0.842,0.728,-12.232644653320312
open+speedboat->uuv,5,2026,8,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,85,source,source,15948,11537,2695,CE-Proto,0.75,0.755859375,0.8248639999999999,0.368,0.198,,,
open+speedboat->uuv,5,2026,8,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,85,source,source,15948,11537,2695,CE-LinearHead,0.745,0.7482724580454096,0.8358520000000002,0.512,0.41,,,
open+speedboat->uuv,5,2026,8,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,85,source,source,15948,11537,2695,CosMetricHead,0.75,0.7706422018348624,0.8151599999999999,0.362,0.166,,,
open+speedboat->uuv,5,2026,8,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,9,85,source,source,15948,11537,2695,RegMahaProxy-TC,0.562,0.6826086956521739,0.796816,0.52,0.414,0.942,0.818,-11.464064025878907
open+speedboat->uuv,5,2026,9,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CE-Proto,0.646,0.6953528399311532,0.750084,0.308,0.178,,,
open+speedboat->uuv,5,2026,9,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CE-LinearHead,0.793,0.8067226890756303,0.8785240000000001,0.538,0.348,,,
open+speedboat->uuv,5,2026,9,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,CosMetricHead,0.772,0.8006993006993007,0.856832,0.356,0.152,,,
open+speedboat->uuv,5,2026,9,logmel,0.0,True,False,2000,902,0,0,10,1000,500,500,10,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.629,0.7245731254639941,0.857336,0.466,0.224,0.976,0.718,-5.246546936035156
open+speedboat->uuv,10,2026,0,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,15,84,source,source,15948,11537,2695,CE-Proto,0.634,0.6623616236162362,0.727188,0.216,0.142,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,15,84,source,source,15948,11537,2695,CE-LinearHead,0.735,0.7259565667011375,0.819024,0.484,0.378,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,15,84,source,source,15948,11537,2695,CosMetricHead,0.728,0.721881390593047,0.818096,0.358,0.178,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,15,84,source,source,15948,11537,2695,RegMahaProxy-TC,0.738,0.7643884892086331,0.83634,0.47,0.33,0.85,0.374,-8.46362762451172
open+speedboat->uuv,10,2026,1,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,84,source,source,15948,11537,2695,CE-Proto,0.588,0.6127819548872181,0.6695559999999998,0.196,0.106,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,84,source,source,15948,11537,2695,CE-LinearHead,0.809,0.818613485280152,0.8925399999999999,0.542,0.322,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,84,source,source,15948,11537,2695,CosMetricHead,0.791,0.8091324200913242,0.8479759999999998,0.284,0.128,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,84,source,source,15948,11537,2695,RegMahaProxy-TC,0.709,0.7681274900398406,0.87554,0.452,0.208,0.964,0.546,-8.231192779541017
open+speedboat->uuv,10,2026,2,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,19,86,source,source,15948,11537,2695,CE-Proto,0.601,0.6167146974063401,0.695348,0.166,0.06,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,19,86,source,source,15948,11537,2695,CE-LinearHead,0.798,0.7846481876332623,0.8958200000000001,0.534,0.31,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,19,86,source,source,15948,11537,2695,CosMetricHead,0.8,0.7967479674796748,0.8713759999999999,0.45,0.222,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,19,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.796,0.8194690265486726,0.8886479999999999,0.514,0.202,0.926,0.334,-8.590230560302736
open+speedboat->uuv,10,2026,3,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,80,source,source,15948,11537,2695,CE-Proto,0.584,0.6068052930056711,0.662028,0.176,0.054,,,
open+speedboat->uuv,10,2026,3,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,80,source,source,15948,11537,2695,CE-LinearHead,0.718,0.7359550561797753,0.789692,0.296,0.106,,,
open+speedboat->uuv,10,2026,3,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,80,source,source,15948,11537,2695,CosMetricHead,0.707,0.7269338303821062,0.805312,0.318,0.156,,,
open+speedboat->uuv,10,2026,3,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,16,80,source,source,15948,11537,2695,RegMahaProxy-TC,0.681,0.7238095238095238,0.777344,0.294,0.082,0.836,0.474,-8.8102783203125
open+speedboat->uuv,10,2026,4,logmel,0.0,True,False,2000,902,0,0,20,1000,500,500,14,84,source,source,15948,11537,2695,CE-Proto,0.592,0.6229205175600739,0.66932,0.182,0.082,,,
