task,k_shot,seed,repeat,baseline,final_method,metric,baseline_value,final_value,delta
open+speedboat->uuv,5,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.683836,0.8544240000000001,0.17058800000000007
open+speedboat->uuv,5,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.645348,0.757576,0.112228
open+speedboat->uuv,5,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.78982,0.747728,-0.04209200000000002
open+speedboat->uuv,5,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.8119919999999999,0.770444,-0.04154799999999992
open+speedboat->uuv,5,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.668868,0.824808,0.15593999999999997
open+speedboat->uuv,5,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.6552479999999999,0.64348,-0.01176799999999989
open+speedboat->uuv,5,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.807872,0.8553879999999999,0.04751599999999989
open+speedboat->uuv,5,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.61598,0.7218720000000001,0.1058920000000001
open+speedboat->uuv,5,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.8248639999999999,0.796816,-0.028047999999999962
open+speedboat->uuv,5,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.750084,0.857336,0.10725200000000001
open+speedboat->uuv,10,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.727188,0.83634,0.10915200000000003
open+speedboat->uuv,10,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.6695559999999998,0.87554,0.20598400000000017
open+speedboat->uuv,10,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.695348,0.8886479999999999,0.19329999999999992
open+speedboat->uuv,10,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.662028,0.777344,0.11531600000000009
open+speedboat->uuv,10,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.66932,0.865836,0.19651600000000002
open+speedboat->uuv,10,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.66994,0.853936,0.18399600000000005
open+speedboat->uuv,10,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.7311799999999999,0.870432,0.13925200000000004
open+speedboat->uuv,10,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.8196640000000001,0.826664,0.006999999999999895
open+speedboat->uuv,10,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.628612,0.7302679999999999,0.10165599999999997
open+speedboat->uuv,10,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.642448,0.8047,0.16225199999999995
open+speedboat->uuv,20,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.694164,0.8844999999999998,0.19033599999999984
open+speedboat->uuv,20,2026,1,CE-Proto,RegMahaProxy-TC,auc,0.702148,0.8929079999999999,0.19075999999999993
open+speedboat->uuv,20,2026,2,CE-Proto,RegMahaProxy-TC,auc,0.6869120000000001,0.917196,0.23028399999999993
open+speedboat->uuv,20,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.7916359999999999,0.874268,0.08263200000000015
open+speedboat->uuv,20,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.751636,0.879208,0.12757200000000002
open+speedboat->uuv,20,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.639424,0.9066279999999999,0.2672039999999999
open+speedboat->uuv,20,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.6945520000000001,0.9092119999999999,0.21465999999999985
open+speedboat->uuv,20,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.6167880000000001,0.897704,0.28091599999999983
open+speedboat->uuv,20,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.617148,0.834752,0.21760400000000002
open+speedboat->uuv,20,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.6572,0.930276,0.273076
open+speedboat->uuv,50,2026,0,CE-Proto,RegMahaProxy-TC,auc,0.669684,0.92394,0.25425600000000004
