task,k_shot,method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
open+speedboat->uuv,5,CE-LinearHead,0.6763,0.0599799679203327,30,0.655695956521715,0.06950912028832694,30,0.736437,0.09338936784016802,30,0.32586666666666664,0.14447711507920274,30,0.16740000000000005,0.1319217636485274,30,,,0,,,0
open+speedboat->uuv,5,CE-Proto,0.5670333333333333,0.08437415985107476,30,0.5507165850483153,0.12195539822843883,30,0.6285386666666668,0.10820358112160712,30,0.1958,0.11920466318117733,30,0.10653333333333333,0.08959515586248505,30,,,0,,,0
open+speedboat->uuv,5,CosMetricHead,0.6741666666666667,0.06592162710021823,30,0.655390843764626,0.08233118847824493,30,0.7440168,0.07567988647946583,30,0.2883333333333334,0.1047335974593712,30,0.13686666666666664,0.08364074792015957,30,,,0,,,0
open+speedboat->uuv,5,RegMahaProxy-TC,0.6222999999999999,0.05886873182094971,30,0.6835908341767714,0.0456632126911784,30,0.7380399999999999,0.07774196405527979,30,0.30933333333333335,0.15258086230006007,30,0.1585333333333333,0.12174131232427546,30,0.8195333333333334,0.11042199097984974,30,0.5749333333333334,0.1670653255122251,30
open+speedboat->uuv,10,CE-LinearHead,0.7175999999999999,0.047147311328613876,30,0.7061726613235456,0.059854512230812264,30,0.7930986666666665,0.05643426833071364,30,0.3855333333333334,0.1086096246872838,30,0.21166666666666664,0.1041922405388508,30,,,0,,,0
open+speedboat->uuv,10,CE-Proto,0.5751000000000001,0.060835192854590145,30,0.5944626029561136,0.0743923403251594,30,0.6386404666666665,0.07135400174590084,30,0.1838666666666666,0.07951219092533626,30,0.08446666666666666,0.06856898531498361,30,,,0,,,0
open+speedboat->uuv,10,CosMetricHead,0.7158333333333335,0.051992760327153005,30,0.7078364627898064,0.06371042696170562,30,0.7856410666666664,0.049840804531430145,30,0.33186666666666664,0.08005848436949221,30,0.14573333333333333,0.074201465425316,30,,,0,,,0
open+speedboat->uuv,10,RegMahaProxy-TC,0.6881666666666665,0.045177109960330745,30,0.7321625131141055,0.03720548638267333,30,0.7989298666666667,0.05230911825816909,30,0.3432666666666666,0.11942561769117856,30,0.14426666666666668,0.09625359226017753,30,0.8547333333333335,0.08844009596734191,30,0.4784,0.12996487589159325,30
open+speedboat->uuv,20,CE-LinearHead,0.7584333333333336,0.041435186890415754,30,0.7567101893769425,0.04420606072125814,30,0.8413570666666668,0.044830118397263266,30,0.47600000000000003,0.08088987831486155,30,0.2783333333333333,0.0688207733941919,30,,,0,,,0
open+speedboat->uuv,20,CE-Proto,0.5779666666666666,0.03575827209176229,30,0.6044418554152046,0.051340376941496,30,0.6462508666666668,0.05419283664504733,30,0.17086666666666667,0.08089274863428239,30,0.07993333333333331,0.06819744829554102,30,,,0,,,0
